,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
"Accomack County, Virginia",130.51264151516068,15.1758885482745,48.562843354478396,15.1758885482745,51.5980210641333,1150.3323519592072,339.9399034813488,731.4778280268309,78.9146204510274,3.0351777096548997,32947.0,0.8220000000000001,0.196,0.7,0.7,0.17800000000000002,42260.0,24266.0,1147.0,771.0,2.35,0.934,22.0,0.8044077134986226,0.044313594560961546,12.7
"Albemarle County, Virginia",82.33687007616159,0.9356462508654728,27.13374127509871,19.64857126817493,34.61891128202249,1189.206384850016,135.66870637549354,992.7206721682666,60.81700630625574,7.4851700069237825,106878.0,0.914,0.523,0.636,0.636,0.079,72265.0,39273.0,1769.0,1189.0,2.44,0.813,21.9,1.292739340305712,0.12027732554875653,6.2
"Allegany County, Maryland",31.886870927492033,1.3863856924996534,4.1591570774989615,9.704699847497574,16.636628309995842,465.82559267988364,72.09205600998196,382.6424511299043,11.091085539997227,0.0,72130.0,0.895,0.182,0.688,0.688,0.17,42771.0,22355.0,1060.0,672.0,2.34,0.846,20.9,1.0662393162393162,0.05534451684458616,13.2
"Alleghany County, Virginia",76.94773966014749,0.0,19.236934915036873,6.412311638345624,51.298493106764994,442.449503045848,179.5447258736775,218.01859570375117,44.88618146841937,6.412311638345624,15595.0,0.865,0.158,0.7609999999999999,0.7609999999999999,0.145,46020.0,25952.0,950.0,653.0,2.21,0.893,24.6,0.6527777777777778,0.051234369990381536,13.2
"Amelia County, Virginia",139.39440873538294,15.488267637264773,46.46480291179432,15.488267637264773,61.95307054905909,968.0167273290483,216.8357469217068,673.7396422210178,77.44133818632386,0.0,12913.0,0.8079999999999999,0.145,0.836,0.836,0.114,58535.0,26118.0,1332.0,729.0,2.69,0.906,38.0,0.39300411522633744,0.044373886780763566,12.1
"Amherst County, Virginia",101.16018082382324,3.1612556507444762,41.09632345967819,18.96753390446685,37.93506780893371,881.9903265577087,110.64394777605663,701.7987544652736,69.54762431637847,6.3225113014889525,31633.0,0.841,0.199,0.769,0.769,0.127,49677.0,24296.0,1127.0,731.0,2.53,0.884,24.1,1.0321480759863615,0.06698700723927542,12.1
"Anne Arundel County, Maryland",361.22362082252715,2.4632882082393475,25.16072955558761,86.56698560383991,247.03261745486026,2048.4000943087485,310.9021617113519,1636.6790652173147,100.81886738008184,5.806322205135603,568346.0,0.92,0.401,0.743,0.743,0.061,94502.0,43258.0,2089.0,1579.0,2.67,0.862,30.2,0.9609573926328298,0.05976289091504119,8.8
"Appomattox County, Virginia",90.46849757673668,0.0,32.310177705977395,12.924071082390952,45.23424878836834,833.6025848142165,116.3166397415186,691.437802907916,25.848142164781905,0.0,15475.0,0.8490000000000001,0.206,0.81,0.81,0.119,54875.0,26347.0,1077.0,683.0,2.59,0.96,31.9,0.33605720122574056,0.02126009693053312,15.6
"Arlington County, Virginia",157.7917843946968,0.4346881112801565,24.342534231688767,44.77287546185614,88.24168658987178,1413.6057378830687,73.8969789176266,1265.8117800478158,73.8969789176266,2.1734405564007826,230050.0,0.939,0.741,0.445,0.445,0.057,112138.0,67061.0,2855.0,1895.0,2.21,0.7959999999999999,28.6,1.0929356019814775,0.13234948924146925,4.6
"Augusta County, Virginia",86.67013347200555,5.333546675200341,14.66725335680094,4.0001600064002565,62.66917343360401,953.3714681920613,274.6776537728176,622.6915743296399,56.002240089603575,6.6669333440004275,74997.0,0.8690000000000001,0.234,0.7909999999999999,0.7909999999999999,0.08900000000000001,59544.0,30088.0,1277.0,857.0,2.46,0.8809999999999999,23.7,0.8760437929114864,0.06294918463405202,14.8
"Baltimore County, Maryland",529.1049858849182,4.211661247662528,38.26595076447668,180.13876822145156,306.48860565132736,2809.057719012402,442.94643007559336,2117.743608503224,248.36768043358452,19.61430809625692,831026.0,0.911,0.378,0.6579999999999999,0.6579999999999999,0.083,71810.0,37270.0,1724.0,1224.0,2.58,0.8759999999999999,29.5,1.1180006327111671,0.05528346886860338,9.4
"Bath County, Virginia",156.3896336014299,0.0,0.0,0.0,156.3896336014299,402.1447721179625,67.02412868632706,335.12064343163536,0.0,0.0,4476.0,0.875,0.159,0.7390000000000001,0.7390000000000001,0.101,44483.0,28195.0,966.0,478.0,2.34,0.9,24.5,2.1705069124423964,0.10522788203753353,3.8
"Bedford County, Virginia",51.3083632632119,1.2827090815802975,14.109799897383276,5.130836326321191,30.785017957927145,613.1349409953822,137.24987172909184,445.10005130836333,30.785017957927145,2.5654181631605955,77960.0,0.8959999999999999,0.28300000000000003,0.8140000000000001,0.8140000000000001,0.09,59405.0,30633.0,1292.0,816.0,2.48,0.882,26.9,1.0608272506082723,0.06151872755259107,12.8
"Bland County, Virginia",15.353907569476434,0.0,15.353907569476434,0.0,0.0,736.9875633348688,107.477352986335,598.8023952095807,30.707815138952867,0.0,6513.0,0.882,0.142,0.826,0.826,0.13699999999999998,46927.0,23505.0,960.0,639.0,2.24,0.871,32.8,2.7894736842105257,0.11392599416551512,13.4
"Botetourt County, Virginia",108.33258102374286,0.0,42.1293370647889,3.0092383617706364,63.19400559718335,704.1617766543287,102.31410430020162,562.727573651109,39.120098703018265,0.0,33231.0,0.925,0.28300000000000003,0.852,0.852,0.064,64733.0,34733.0,1423.0,898.0,2.48,0.893,28.3,0.7403492647058824,0.04847883000812495,9.7
"Brunswick County, Virginia",98.50397094132856,0.0,67.72148002216339,6.156498183833037,24.625992735332147,504.8328510743089,123.12996367666071,350.92039647848304,30.782490919165177,0.0,16243.0,0.787,0.131,0.7390000000000001,0.7390000000000001,0.215,40871.0,20278.0,1045.0,693.0,2.36,0.887,29.2,1.0569744597249509,0.06624392045804346,13.0
"Buchanan County, Virginia",238.97556136712055,9.017945711966815,94.68842997565154,0.0,135.26918567950221,1357.2008296510055,383.26269275858965,883.7586797727478,90.17945711966811,13.526918567950222,22178.0,0.716,0.108,0.789,0.789,0.279,30828.0,19241.0,946.0,611.0,2.4,0.924,27.7,0.5322338830584707,0.032013707277482185,8.3
"Buckingham County, Virginia",105.58423275457531,0.0,23.463162834350072,11.731581417175036,70.38948850305022,850.53965274519,152.51055842327548,633.5053965274518,64.52369779446269,5.865790708587518,17048.0,0.769,0.114,0.753,0.753,0.175,46610.0,19702.0,1021.0,721.0,2.64,0.893,35.5,0.9715857011915674,0.06217738151102769,14.9
"Calvert County, Maryland",132.60128656124314,1.0958784013325882,15.342297618656234,13.150540815991054,103.01256972526329,1172.5898894258694,244.38088349716722,887.6615050793963,40.547500849305756,9.862905611993293,91251.0,0.938,0.301,0.8340000000000001,0.8340000000000001,0.06,100350.0,41469.0,2107.0,1612.0,2.87,0.885,41.9,0.9578213218199934,0.06321026618886369,9.9
"Campbell County, Virginia",203.81423788033192,10.918619886446354,27.296549716115884,14.558159848595135,151.04090842917455,1113.699228417528,189.2560780317368,871.6698209346339,52.773329451157366,0.0,54952.0,0.855,0.215,0.75,0.75,0.113,48823.0,26417.0,1124.0,747.0,2.42,0.89,25.3,0.8812809164280135,0.061599213859368174,9.5
"Caroline County, Maryland",51.750380517503814,0.0,6.088280060882799,3.0441400304413997,42.6179604261796,608.8280060882801,203.95738203957387,377.4733637747337,27.397260273972602,0.0,32850.0,0.833,0.166,0.7120000000000001,0.7120000000000001,0.138,52469.0,25355.0,1511.0,924.0,2.69,0.8740000000000001,32.1,0.943450942484292,0.05942161339421614,11.0
"Caroline County, Virginia",122.60587182715885,3.3136722115448336,49.70508317317251,9.941016634634504,59.646099807807005,1004.0426800980847,215.38869375041423,788.6539863476704,0.0,3.3136722115448336,30178.0,0.835,0.192,0.8009999999999999,0.8009999999999999,0.096,60925.0,28039.0,1400.0,996.0,2.57,0.838,35.6,1.4587525150905432,0.0960964941348002,11.8
"Carroll County, Maryland",59.64594169012741,1.1929188338025478,11.92918833802548,5.368134752111467,41.15569976618791,481.34274943932814,113.32728921124206,348.332299470344,19.683160757742048,0.0,167656.0,0.922,0.34600000000000003,0.818,0.818,0.05,90510.0,39690.0,2021.0,1131.0,2.71,0.916,35.6,0.994887525562372,0.040624850885145766,8.3
"Carroll County, Virginia",60.95289695574142,0.0,16.93136026548373,3.386272053096746,40.63526463716095,1147.9462259997968,287.83312451322337,717.8896752565101,142.2234262300633,13.545088212386984,29531.0,0.809,0.145,0.78,0.78,0.168,41145.0,23690.0,967.0,563.0,2.37,0.91,25.8,0.7466124661246613,0.037316718025126136,15.9
"Cecil County, Maryland",87.7167334288471,1.949260742863269,9.746303714316346,15.594085942906153,60.42708302876135,603.2961999161819,174.45883648626258,384.97899671549567,43.85836671442355,0.9746303714316346,102603.0,0.888,0.23,0.731,0.731,0.097,70516.0,32542.0,1742.0,1071.0,2.72,0.8959999999999999,29.3,0.8381523272214386,0.04633392785785991,9.9
"Charles City County, Virginia",42.42681374628765,0.0,0.0,0.0,42.42681374628765,410.125866214114,155.56498373638806,212.1340687314383,42.42681374628765,14.142271248762551,7071.0,0.7809999999999999,0.128,0.833,0.833,0.12,55069.0,32689.0,1256.0,885.0,2.42,0.929,32.7,0.6497890295358649,0.043558195446188656,13.9
"Charles County, Maryland",334.1682254842903,3.80457182714562,24.095621571922266,79.89600837005803,226.3720237151644,1461.5896769284425,218.12878475634886,1143.2738340572591,100.18705811483468,19.65695444025237,157705.0,0.927,0.285,0.773,0.773,0.075,93973.0,38890.0,2132.0,1618.0,2.79,0.894,43.9,0.8340170085042521,0.052858184585143145,10.8
"Charlotte County, Virginia",214.36227224008573,8.244702778464836,32.978811113859344,8.244702778464836,164.89405556929674,882.1831972957375,214.36227224008573,601.8633028279331,65.95762222771869,0.0,12129.0,0.8140000000000001,0.119,0.7120000000000001,0.7120000000000001,0.174,38350.0,19830.0,1078.0,600.0,2.67,0.915,31.4,0.8091603053435115,0.034957539780690904,9.3
"Chesterfield County, Virginia",138.34440973543477,2.6547967753068504,27.727877430982662,57.22561937883655,50.7361161503087,1930.922187906516,323.2952517484787,1503.2049296626346,104.42200649540277,16.22375807131964,339009.0,0.919,0.384,0.753,0.753,0.067,76969.0,35370.0,1537.0,1180.0,2.74,0.872,26.4,1.1546924910003549,0.06717815751204245,9.2
"Clarke County, Virginia",76.52706275219145,6.957005704744677,20.87101711423404,0.0,48.69903993321274,647.0015305412551,180.88214832336163,431.33435369417,34.785028523723376,0.0,14374.0,0.8690000000000001,0.315,0.75,0.75,0.067,72129.0,38658.0,1842.0,1031.0,2.54,0.905,35.6,0.9103330486763449,0.07416168081257826,10.4
"Craig County, Virginia",38.774718883288095,0.0,19.387359441644048,0.0,19.387359441644048,445.90926715781313,77.54943776657619,348.9724699495929,19.387359441644048,0.0,5158.0,0.906,0.192,0.74,0.74,0.117,53526.0,26753.0,1304.0,527.0,2.18,0.8909999999999999,37.6,1.6050955414012742,0.048856145792943,8.3
"Culpeper County, Virginia",53.910508555797385,0.0,3.9933710041331385,13.976798514465989,35.94033903719825,325.4597368368508,51.913823053730795,243.59563125212142,29.950282530998546,3.9933710041331385,50083.0,0.8490000000000001,0.234,0.7290000000000001,0.7290000000000001,0.099,69693.0,29979.0,1748.0,1092.0,2.87,0.878,39.7,0.8913492766459994,0.060279935307389725,8.8
"Cumberland County, Virginia",196.85039370078738,0.0,51.80273518441774,0.0,145.0476585163697,486.9457107335267,165.76875259013676,279.7347699958557,41.44218814753419,20.721094073767095,9652.0,0.815,0.16699999999999998,0.723,0.723,0.153,43020.0,23488.0,1221.0,818.0,2.46,0.95,40.7,0.7475149105367793,0.03895565685868214,13.2
"Dickenson County, Virginia",173.70390165686797,0.0,106.89470871191877,0.0,66.80919294494923,714.8583645109567,160.34206306787814,507.74986638161414,46.76643506146446,0.0,14968.0,0.745,0.093,0.76,0.76,0.25,29916.0,21082.0,895.0,569.0,2.42,0.945,29.6,0.7101449275362319,0.03273650454302512,10.1
"Dinwiddie County, Virginia",198.97669130187612,0.0,14.212620807276863,24.872086412734514,159.89198408186468,1076.6060261512223,202.5298465036953,763.9283683911315,110.14781125639568,0.0,28144.0,0.826,0.166,0.7709999999999999,0.7709999999999999,0.101,54640.0,25981.0,1306.0,945.0,2.64,0.871,29.2,0.7018722995679308,0.05194712905059693,13.6
"Dorchester County, Maryland",31.000062000124,3.1000062000124005,0.0,3.1000062000124005,24.8000496000992,629.3012586025171,170.500341000682,409.20081840163687,49.6000992001984,0.0,32258.0,0.853,0.201,0.6579999999999999,0.6579999999999999,0.157,50532.0,28911.0,1375.0,869.0,2.46,0.873,26.3,0.7455811462238886,0.04315208630417261,16.0
"Essex County, Virginia",44.951901465431995,0.0,8.9903802930864,0.0,35.9615211723456,566.393958464443,296.6825496718511,233.7498876202464,35.9615211723456,8.9903802930864,11123.0,0.826,0.189,0.705,0.705,0.136,50629.0,25730.0,1227.0,864.0,2.44,0.887,35.0,1.0093808630393997,0.04836824597680482,11.8
"Fairfax County, Virginia",92.38994881667094,1.756462905259904,15.193404130498168,40.48646996624078,34.95361181467209,1274.4016609113232,72.19062540618205,1130.810818406326,71.40021709881509,2.634694357889856,1138652.0,0.92,0.607,0.6779999999999999,0.6779999999999999,0.067,117515.0,52976.0,2568.0,1823.0,2.88,0.852,32.1,1.0576724045633528,0.0780826802218764,5.9
"Fauquier County, Virginia",55.01744632179415,0.0,11.58262027827245,2.8956550695681127,40.539170973953574,628.3571500962805,76.734859343555,508.1874647092038,43.4348260435217,1.4478275347840563,69069.0,0.914,0.353,0.784,0.784,0.057,94775.0,43067.0,2135.0,1229.0,2.84,0.901,39.8,0.9962476547842402,0.06150371367762673,7.5
"Floyd County, Virginia",139.85124912592968,0.0,69.92562456296484,0.0,69.92562456296484,673.8287457885704,203.41999872862502,432.26749729832807,38.14124976161719,0.0,15731.0,0.843,0.194,0.8079999999999999,0.8079999999999999,0.124,48396.0,25446.0,1070.0,611.0,2.41,0.935,31.6,1.2145214521452146,0.04678659970758376,7.6
"Fluvanna County, Virginia",114.19435879867537,0.0,11.419435879867535,11.419435879867535,91.35548703894028,700.3920672985422,121.80731605192035,532.9070077271516,45.67774351947013,15.225914506490044,26271.0,0.917,0.32299999999999995,0.8079999999999999,0.8079999999999999,0.067,67964.0,31952.0,1537.0,1252.0,2.54,0.88,33.4,1.2847915443335292,0.08328575235050055,14.4
"Franklin County, Virginia",131.98023863453957,0.0,30.31978455117801,7.1340669532183565,94.52638713014322,906.0265030587312,156.94947297080384,677.7363605557437,71.34066953218354,7.1340669532183565,56069.0,0.862,0.207,0.7929999999999999,0.7929999999999999,0.133,51208.0,27282.0,1181.0,660.0,2.36,0.88,30.2,1.2938564026646928,0.062351745171128424,11.8
"Frederick County, Maryland",74.72000193868115,0.4038919023712493,5.250594730826242,12.116757071137481,56.94875823434616,599.7794750213052,101.3768674951836,476.5924447980742,21.810162728047466,0.0,247591.0,0.926,0.405,0.748,0.748,0.067,88502.0,39566.0,1982.0,1338.0,2.68,0.882,35.0,0.9117566079295154,0.05349952138809569,8.0
"Frederick County, Virginia",80.54867864630837,2.3690787837149525,39.08979993129672,9.476315134859812,29.61348479643691,1190.4620888167635,190.7108420890537,926.3098044325463,73.44144229516353,2.3690787837149525,84421.0,0.882,0.277,0.775,0.775,0.067,71037.0,32554.0,1547.0,1121.0,2.71,0.883,31.1,0.8366726296958855,0.055400907357174164,10.5
"Garrett County, Maryland",152.93118096856415,0.0,3.398470688190314,0.0,149.53271028037383,812.2344944774852,156.32965165675446,635.5140186915887,20.390824129141887,3.398470688190314,29425.0,0.8909999999999999,0.196,0.775,0.775,0.118,48174.0,26303.0,1191.0,646.0,2.43,0.915,24.2,1.5461847389558232,0.03925233644859813,10.4
"Giles County, Virginia",53.390282968499726,0.0,5.9322536631666365,0.0,47.45802930533309,427.1222637479978,94.91605861066618,314.4094441478318,17.79676098949991,5.9322536631666365,16857.0,0.87,0.17,0.748,0.748,0.114,49734.0,25004.0,1002.0,683.0,2.36,0.8809999999999999,24.9,0.4811256005490734,0.041585098178798116,16.6
"Gloucester County, Virginia",99.42494760036543,2.6871607459558238,34.9330896974257,16.12296447573494,45.681732681248995,1346.2675337238672,163.9168055033052,1082.9257806201967,99.42494760036543,10.748642983823292,37214.0,0.898,0.228,0.772,0.772,0.098,63881.0,32271.0,1442.0,923.0,2.49,0.914,32.9,0.8547586829048264,0.05092169613586285,10.3
"Goochland County, Virginia",79.40709370037057,0.0,4.411505205576144,0.0,74.99558849479443,745.544379742368,92.641609317099,608.7877183695077,44.11505205576143,4.411505205576144,22668.0,0.913,0.389,0.87,0.87,0.061,86652.0,47610.0,1749.0,1096.0,2.54,0.89,31.1,0.7679362267493357,0.07649550026469032,7.3
"Grayson County, Virginia",112.53061494671343,13.238895876083937,39.71668762825181,6.619447938041969,52.95558350433575,1019.394982458463,139.00840669888132,807.57264844112,72.81392731846164,6.619447938041969,15107.0,0.8109999999999999,0.128,0.787,0.787,0.191,32048.0,20525.0,879.0,513.0,2.25,0.901,27.8,0.6629353233830846,0.035281657509763684,8.0
"Greene County, Virginia",113.57183418512207,0.0,10.324712198647463,41.29884879458985,61.94827319188479,929.2240978782717,87.76005368850343,805.3275514945021,36.13649269526612,10.324712198647463,19371.0,0.846,0.267,0.8059999999999999,0.8059999999999999,0.083,62952.0,30215.0,1532.0,957.0,2.63,0.923,31.2,0.7816362566215421,0.06855608899901915,5.6
"Greensville County, Virginia",76.88364941055869,0.0,17.085255424568597,42.713138561421495,17.085255424568597,837.1775158038612,222.10832051939175,546.7281735861951,68.34102169827439,8.542627712284299,11706.0,0.753,0.075,0.755,0.755,0.239,42121.0,16835.0,1024.0,769.0,2.33,0.7979999999999999,22.9,1.6639566395663956,0.1573552024602768,12.6
"Halifax County, Virginia",105.73845450388659,2.85779606767261,31.435756744398727,8.573388203017831,62.871513488797454,843.0498399634203,291.4951989026063,480.10973936899865,71.44490169181526,8.573388203017831,34992.0,0.797,0.159,0.726,0.726,0.179,39233.0,21155.0,985.0,595.0,2.43,0.933,25.3,0.949685534591195,0.03452217649748514,17.3
"Hanover County, Virginia",93.87692543489922,3.8317112422407855,19.158556211203926,9.57927810560196,61.30737987585257,1007.7400567093263,66.09701892865354,882.2515135259407,59.39152425473216,8.621350295041765,104392.0,0.929,0.379,0.813,0.813,0.054000000000000006,84955.0,37924.0,1723.0,1113.0,2.65,0.894,26.1,1.1270999490921432,0.06362556517740824,10.5
"Harford County, Maryland",152.9685458427611,2.3901335287931422,9.560534115172569,32.26680263870741,108.75107556008793,968.0040791612224,180.45508142388226,762.8509512731446,24.6980464641958,0.0,251032.0,0.929,0.35200000000000004,0.7859999999999999,0.7859999999999999,0.071,83445.0,37972.0,1812.0,1197.0,2.67,0.893,32.1,1.0884657511163536,0.05146355843079767,9.4
"Henrico County, Virginia",185.6043319928576,4.900444409052347,11.944833247065091,62.17438843985164,106.58466589688852,2472.274204366909,351.30060857394005,1972.1225968680035,148.850998924965,6.738111062446977,326501.0,0.912,0.421,0.629,0.629,0.095,66447.0,36497.0,1541.0,1095.0,2.55,0.845,22.3,1.2410538535305102,0.07531064223386759,8.5
"Henry County, Virginia",221.59587909417823,5.831470502478376,40.820293517348624,56.370881523957635,118.5732335503936,2530.858198075615,526.7761687238799,1858.2952667897755,145.7867625619594,29.157352512391878,51445.0,0.7979999999999999,0.128,0.732,0.732,0.162,36779.0,21473.0,916.0,586.0,2.31,0.893,23.6,1.3283310595725328,0.056779084459131116,17.5
"Highland County, Virginia",180.50541516245488,0.0,0.0,0.0,180.50541516245488,1083.0324909747294,270.75812274368235,767.1480144404331,45.12635379061372,0.0,2216.0,0.845,0.25,0.855,0.855,0.125,45094.0,32648.0,1104.0,555.0,1.9,0.973,22.5,4.064516129032258,0.05685920577617329,11.2
"Howard County, Maryland",224.44071077094756,1.8913543042495575,20.80489734674514,63.36036919236019,138.38408992759267,1740.676411344343,264.78960259493806,1380.3734163848026,95.51339236460268,0.9456771521247788,317233.0,0.953,0.612,0.737,0.737,0.059,115576.0,51045.0,2476.0,1661.0,2.79,0.8759999999999999,30.9,1.0031020482642214,0.06931498299357254,8.0
