,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
"Isle of Wight County, Virginia",84.7087113345721,0.0,16.395234451852662,8.197617225926331,60.1158596567931,819.7617225926331,172.1499617444529,609.3562137938573,38.25554705432288,16.395234451852662,36596.0,0.8759999999999999,0.269,0.773,0.773,0.085,67767.0,33172.0,1701.0,1018.0,2.53,0.895,29.2,0.8757741347905282,0.065690239370423,
"James City County, Virginia",120.9612386430837,1.3440137627009299,22.84823396591581,16.12816515241116,80.6408257620558,1536.2077307671634,165.31369281221438,1337.2936938874254,33.60034406752325,2.6880275254018597,74404.0,0.943,0.479,0.743,0.743,0.068,80772.0,42047.0,1752.0,1202.0,2.53,0.848,25.0,1.29000546149645,0.0952368152249879,7.4
"Kent County, Maryland",40.547389761784075,0.0,5.068423720223009,15.205271160669033,20.273694880892037,658.8950836289914,268.6264571718196,380.13177901672583,10.136847440446019,0.0,19730.0,0.873,0.332,0.701,0.701,0.128,56638.0,32217.0,1641.0,938.0,2.37,0.86,26.7,1.0614886731391586,0.08312214901165738,8.6
"King George County, Virginia",96.21305418719211,0.0,38.485221674876854,7.697044334975369,50.03078817733991,1012.1613300492613,103.91009852216749,846.6748768472906,61.57635467980296,0.0,25984.0,0.938,0.342,0.7559999999999999,0.7559999999999999,0.068,84770.0,35676.0,1894.0,1178.0,2.83,0.8540000000000001,37.1,0.9938032532920216,0.098753078817734,12.4
"King William County, Virginia",67.34419003305986,6.122199093914534,6.122199093914534,6.122199093914534,48.97759275131627,483.6537284192482,55.0997918452308,416.30953838618836,12.244398187829068,0.0,16334.0,0.8959999999999999,0.19,0.861,0.861,0.068,67423.0,31192.0,1434.0,1094.0,2.68,0.921,37.4,1.3399778516057586,0.07407860903636586,13.7
"King and Queen County, Virginia",251.43176421287887,13.968431345159939,41.90529403547981,27.936862690319877,167.62117614191925,698.4215672579968,265.40019555803883,377.1476463193183,55.873725380639755,0.0,7159.0,0.855,0.189,0.787,0.787,0.123,51495.0,25831.0,1191.0,845.0,2.51,0.944,34.6,1.0083333333333333,0.050705405782930583,
"Lancaster County, Virginia",118.48341232227487,0.0,72.91286912139992,0.0,45.57054320087496,984.3237331388989,246.08093328472472,665.3299307327743,72.91286912139992,18.22821728034998,10972.0,0.901,0.319,0.732,0.732,0.129,51495.0,33997.0,1445.0,817.0,2.11,0.887,26.7,0.6683621566632757,0.05987969376594969,9.0
"Lee County, Virginia",62.03730509946648,0.0,20.679101699822162,0.0,41.358203399644324,1220.0670002895074,74.44476611935978,1141.4864138301832,4.1358203399644315,8.271640679928865,24179.0,0.746,0.111,0.7190000000000001,0.7190000000000001,0.282,32590.0,18514.0,898.0,530.0,2.47,0.879,29.8,1.0,0.046279829604202,14.7
"Loudoun County, Virginia",87.05903690940418,0.5182085530321678,29.53788752283357,11.91879671973986,45.0841441137986,685.8490199380741,50.78443819715243,599.8264001347343,35.2381816061874,8.550441125030769,385945.0,0.935,0.598,0.779,0.779,0.03,129588.0,50456.0,2664.0,1764.0,3.07,0.865,33.7,1.1883820005325283,0.0693855342082421,6.6
"Louisa County, Virginia",161.7663752979907,5.6760131683505515,31.218072425928032,11.3520263367011,113.520263367011,1007.4923373822228,110.68225678283574,831.5359291633557,65.27415143603133,5.6760131683505515,35236.0,0.846,0.232,0.797,0.797,0.108,56946.0,30237.0,1424.0,932.0,2.58,0.8740000000000001,36.3,1.191054665930425,0.06121580202066069,11.5
"Lunenburg County, Virginia",40.73983541106494,0.0,16.295934164425972,0.0,24.443901246638962,439.99022243950134,130.36747331540778,268.8829137130286,40.73983541106494,8.147967082212986,12273.0,0.763,0.106,0.72,0.72,0.205,39537.0,18555.0,987.0,676.0,2.55,0.94,29.1,1.0592592592592591,0.04660637171025829,7.4
"Madison County, Virginia",84.11072029362288,0.0,22.93928735280624,7.646429117602079,53.52500382321456,756.9964826426059,61.17143294081664,634.6536167609728,61.17143294081664,0.0,13078.0,0.87,0.269,0.7340000000000001,0.7340000000000001,0.113,52287.0,29705.0,1524.0,742.0,2.52,0.867,30.5,0.7734887108521485,0.0812050772289341,9.7
"Mathews County, Virginia",45.547711227510824,11.386927806877706,0.0,0.0,34.16078342063312,831.2457299020724,273.2862673650649,523.7986791163744,34.16078342063312,0.0,8782.0,0.914,0.269,0.862,0.862,0.097,63622.0,35252.0,1204.0,924.0,2.32,0.8859999999999999,32.5,0.643661971830986,0.05203826007743111,4.1
"Mecklenburg County, Virginia",103.5866891104493,6.474168069403081,35.607924381716956,12.948336138806162,48.55626052052311,708.9214035996374,271.91505891492943,394.92425223358805,42.08209245112003,3.2370840347015406,30892.0,0.816,0.182,0.722,0.722,0.175,41126.0,22970.0,1025.0,690.0,2.54,0.925,24.7,0.8407643312101911,0.042729509258060336,15.7
"Middlesex County, Virginia",120.6160697717573,0.0,74.2252737056968,9.2781592132121,37.1126368528484,1150.4917424383004,213.39766190387826,844.3124884023009,92.78159213212099,18.5563184264242,10778.0,0.8809999999999999,0.221,0.809,0.809,0.136,50483.0,29871.0,1564.0,793.0,2.28,0.899,31.0,1.0234948604992655,0.06466876971608833,6.4
"Montgomery County, Maryland",167.55072265230208,1.3411721653128812,31.709141908468837,63.130889781513474,71.36951879700689,1443.2928459002762,177.70531190395675,1185.4045981129707,80.18293588334869,5.9394767320999025,1043863.0,0.911,0.583,0.6559999999999999,0.6559999999999999,0.07,103178.0,51162.0,2460.0,1693.0,2.79,0.8540000000000001,34.7,1.1994651648779795,0.06488303541748294,7.0
"Montgomery County, Virginia",45.638019512788794,1.0141782113953064,13.184316748138983,2.0283564227906132,29.411168130463885,307.2959980527778,63.8932273179043,215.0057808158049,28.39698991906858,2.0283564227906132,98602.0,0.92,0.463,0.5489999999999999,0.5489999999999999,0.23,53424.0,28277.0,1400.0,936.0,2.49,0.738,18.7,1.6888181925297514,0.14536216303928925,8.1
"Nelson County, Virginia",161.40964422624253,6.725401842760106,47.077812899320726,6.725401842760106,100.88102764140156,1062.6134911560966,201.76205528280315,800.3228192884526,60.528616584840954,20.17620552828032,14869.0,0.857,0.308,0.718,0.718,0.132,53834.0,33597.0,1366.0,688.0,2.26,0.918,31.2,1.2035541195476576,0.05010424372856278,4.0
"New Kent County, Virginia",61.4744408190287,0.0,28.372818839551712,0.0,33.101621979476995,1253.1328320802004,212.79614129663784,983.5910531044592,56.745637679103424,9.457606279850573,21147.0,0.926,0.269,0.818,0.818,0.055,78429.0,36768.0,1621.0,882.0,2.64,0.863,33.4,1.9798245614035088,0.10672908686811368,7.5
"Northampton County, Virginia",65.90328692643546,24.713732597413298,0.0,16.475821731608864,24.713732597413298,733.1740670565946,255.37523683993737,444.8471867534393,32.95164346321773,0.0,12139.0,0.8109999999999999,0.232,0.6459999999999999,0.6459999999999999,0.18600000000000005,41468.0,24835.0,1200.0,713.0,2.26,0.939,20.3,0.5215189873417722,0.03394019276711426,11.4
"Northumberland County, Virginia",180.00327278677793,0.0,49.091801669121246,16.363933889707088,114.5475372279496,826.3786614302078,278.1868761250205,523.6458844706267,24.545900834560623,8.181966944853544,12222.0,0.907,0.264,0.852,0.852,0.14400000000000002,56677.0,33364.0,1427.0,754.0,2.12,0.905,27.5,2.402135231316726,0.05522827687776141,7.9
"Nottoway County, Virginia",38.473869830073745,12.824623276691248,6.412311638345624,0.0,19.236934915036873,429.6248797691568,76.94773966014749,327.0278935556268,25.649246553382497,6.412311638345624,15595.0,0.7659999999999999,0.13699999999999998,0.589,0.589,0.221,38410.0,19452.0,1129.0,780.0,2.44,0.884,25.4,0.9925474254742548,0.0939403655017634,20.6
"Orange County, Virginia",59.09999155714407,0.0,16.88571187346973,5.62857062448991,36.58570905918441,590.9999155714406,121.01426842653306,439.0285087102129,30.95713843469451,0.0,35533.0,0.8859999999999999,0.256,0.773,0.773,0.091,67196.0,30660.0,1522.0,918.0,2.58,0.8759999999999999,39.3,1.0113469985358712,0.07775870317732812,12.2
"Page County, Virginia",109.917984273273,21.138073898706352,46.50376257715397,4.2276147797412715,38.048533017671424,634.1422169611905,164.87697640990953,426.98909275386825,42.276147797412705,21.138073898706352,23654.0,0.81,0.132,0.6890000000000001,0.6890000000000001,0.154,46140.0,24057.0,1156.0,734.0,2.48,0.866,33.8,0.7023622047244095,0.03771032383529213,19.9
"Patrick County, Virginia",184.12096189254032,5.579423087652737,50.214807788874644,33.476538525916425,94.85019249009652,1272.108463984824,189.70038498019304,987.5578865145343,94.85019249009652,11.158846175305474,17923.0,0.787,0.14300000000000002,0.77,0.77,0.145,37757.0,21785.0,1014.0,544.0,2.29,0.858,28.0,1.669281045751634,0.07124923282932545,13.5
"Pittsylvania County, Virginia",74.57000664645713,3.2421742020198745,27.558480717168933,3.2421742020198745,40.527177525248426,594.938966070647,189.66719081816262,372.8500332322856,32.42174202019875,19.453045212119246,61687.0,0.8240000000000001,0.141,0.752,0.752,0.126,44356.0,23597.0,991.0,667.0,2.28,0.894,25.1,1.1036777583187392,0.051080454552823125,9.9
"Powhatan County, Virginia",63.28446366417045,3.515803536898358,24.610624758288512,7.031607073796716,28.126428295186862,738.3187427486553,108.98990964384909,562.5285659037373,66.80026720106879,7.031607073796716,28443.0,0.908,0.284,0.898,0.898,0.054000000000000006,80441.0,33807.0,1552.0,983.0,2.58,0.8959999999999999,31.8,1.2930306230200634,0.08610202861864079,15.4
"Prince Edward County, Virginia",51.85377236193933,0.0,17.284590787313107,4.3211476968282785,30.248033877797948,375.9398496240601,90.74410163339384,263.59000950652495,21.605738484141387,4.3211476968282785,23142.0,0.826,0.249,0.649,0.649,0.234,44147.0,19751.0,1176.0,764.0,2.52,0.871,21.4,1.0804179918218992,0.10275689223057644,13.5
"Prince George County, Virginia",105.69427929713305,0.0,18.496498876998285,34.35064077156824,52.84713964856653,1006.7380103051922,179.68027480512615,771.5682388690713,55.48949663099486,2.6423569824283257,37845.0,0.8959999999999999,0.23,0.682,0.682,0.107,68461.0,27970.0,1423.0,1295.0,2.98,0.8240000000000001,25.7,1.1456762749445677,0.1365305852820716,11.5
"Prince George's County, Maryland",1.1012621565576308,0.0,0.0,0.0,1.1012621565576308,0.11012621565576307,0.0,0.11012621565576307,0.0,0.0,908049.0,0.861,0.319,0.618,0.618,0.086,78607.0,34391.0,1990.0,1385.0,2.89,0.853,36.9,1.1556918375353609,0.061636541640374035,
"Prince William County, Virginia",185.18925331165838,4.832934250126315,18.23334285274928,50.52613079677512,111.59684541200764,1133.3230816546209,120.6036774236067,940.2253904791196,72.49401375189473,2.1967882955119613,455210.0,0.888,0.398,0.725,0.725,0.061,101059.0,38225.0,2217.0,1620.0,3.21,0.8540000000000001,39.1,0.9947817304455168,0.07789371938226314,9.2
"Pulaski County, Virginia",140.33856679238662,5.847440283016111,17.542320849048327,8.771160424524162,108.17764523579801,1774.698125895389,233.89761132064442,1508.6395930181563,32.160921556588605,11.694880566032221,34203.0,0.8540000000000001,0.185,0.728,0.728,0.14800000000000002,49691.0,26328.0,1052.0,641.0,2.28,0.867,22.8,1.037231253277399,0.057831184399029324,11.8
"Queen Anne's County, Maryland",147.15199574894234,0.0,12.262666312411866,22.481554906088416,112.40777453044208,964.6630832430664,216.64043818594288,725.5410901510353,22.481554906088416,8.175110874941241,48929.0,0.919,0.353,0.8109999999999999,0.8109999999999999,0.077,89241.0,40553.0,2102.0,1325.0,2.7,0.878,36.2,1.4079968944099381,0.0741278178585297,
"Rappahannock County, Virginia",13.535462912831619,0.0,13.535462912831619,0.0,0.0,365.4574986464537,121.81916621548456,243.63833243096917,0.0,0.0,7388.0,0.8859999999999999,0.336,0.752,0.752,0.08900000000000001,62541.0,38185.0,1874.0,1056.0,2.34,0.928,37.9,0.8743455497382199,0.0452084461288576,6.5
"Richmond County, Virginia",102.57579211306131,0.0,11.397310234784591,0.0,91.17848187827671,490.08434009573756,136.7677228174151,296.3300661043993,56.98655117392296,0.0,8774.0,0.805,0.134,0.7190000000000001,0.7190000000000001,0.184,47341.0,19728.0,1129.0,816.0,2.2,0.873,24.7,1.5682967959527825,0.10599498518349668,13.4
"Roanoke County, Virginia",177.60100392423774,1.0634790654145974,26.586976635364927,12.761748784975168,137.18879943848304,1242.1435484042495,179.72796205506694,1018.8129446671844,43.60264168199849,1.0634790654145974,94031.0,0.921,0.34700000000000003,0.748,0.748,0.073,62134.0,33717.0,1314.0,907.0,2.37,0.873,22.4,1.1048473486877344,0.08774765768735843,9.1
"Rockbridge County, Virginia",102.71525544837442,0.0,26.79528403001072,0.0,75.9199714183637,1058.4137191854234,200.9646302250804,790.4608788853163,66.9882100750268,8.931761343336904,22392.0,0.857,0.258,0.769,0.769,0.126,53918.0,31534.0,1267.0,742.0,2.43,0.8809999999999999,23.5,0.9537157757496741,0.06533583422650947,10.0
"Rockingham County, Virginia",87.78089887640448,1.2540128410914928,33.858346709470304,6.270064205457463,46.39847512038525,453.9526484751204,145.46548956661317,299.7090690208668,8.77808988764045,6.270064205457463,79744.0,0.825,0.248,0.733,0.733,0.084,57651.0,28884.0,1307.0,848.0,2.52,0.88,21.7,0.7474061497830597,0.049683988764044944,8.5
"Russell County, Virginia",127.8772378516624,3.653635367190353,43.843624406284256,3.653635367190353,76.72634271099744,719.7661673364997,281.3299232736573,398.2462550237487,40.1899890390939,14.614541468761413,27370.0,0.7879999999999999,0.136,0.779,0.779,0.202,40083.0,21673.0,954.0,544.0,2.45,0.917,28.1,0.9515384615384616,0.04519546949214468,16.6
"Scott County, Virginia",72.9594163246694,4.559963520291838,31.91974464204286,0.0,36.4797081623347,807.1135430916553,150.4787961696306,574.5554035567716,82.07934336525308,9.119927040583676,21930.0,0.799,0.133,0.772,0.772,0.17600000000000002,38725.0,20969.0,894.0,529.0,2.4,0.884,28.2,0.9916512059369202,0.048746010031919744,14.3
"Shenandoah County, Virginia",94.96236247828604,2.3161551823972206,37.05848291835553,0.0,55.58772437753329,530.3995367689636,141.28546612623046,377.53329473074695,11.580775911986105,2.3161551823972206,43175.0,0.86,0.192,0.6970000000000001,0.6970000000000001,0.095,53934.0,27016.0,1341.0,831.0,2.46,0.838,31.0,2.0689851767388827,0.08405327156919512,13.0
"Smyth County, Virginia",96.58103148541626,3.2193677161805425,28.97430944562488,3.2193677161805425,61.167986607430315,833.8162384907604,183.5039598222909,605.2411306419419,45.071148026527595,16.096838580902713,31062.0,0.83,0.145,0.703,0.703,0.177,40544.0,22319.0,912.0,598.0,2.39,0.895,22.0,0.9014647137150466,0.04359023887708454,12.8
"Somerset County, Maryland",92.5640234495526,0.0,7.713668620796049,3.8568343103980247,80.99352051835855,200.55538414069733,57.85251465597038,134.98920086393088,7.713668620796049,0.0,25928.0,0.818,0.14400000000000002,0.6459999999999999,0.6459999999999999,0.247,39239.0,18395.0,1232.0,673.0,2.36,0.825,24.9,2.027011156782149,0.13313792039493982,12.3
"Southampton County, Virginia",127.37442543058093,22.15207398792712,33.22811098189068,22.15207398792712,49.84216647283603,947.0011629838845,265.82488785512544,614.7200531649777,66.45622196378136,27.6900924849089,18057.0,0.83,0.19,0.716,0.716,0.147,53681.0,25784.0,1251.0,724.0,2.49,0.887,31.0,0.6694966646452395,0.06113972420667885,13.8
"Spotsylvania County, Virginia",171.9566699492463,2.2725551094614045,26.513142943716378,40.90599197030528,102.2649799257632,1282.4786001060527,146.2010453753503,1072.646011665783,63.63154306491932,0.7575183698204682,132010.0,0.899,0.304,0.774,0.774,0.069,81434.0,33859.0,1711.0,1400.0,3.0,0.877,38.2,1.121800731261426,0.07437315354897356,10.3
"St. Mary's County, Maryland",179.4168065584837,1.7764040253315216,18.652242265980973,24.8696563546413,134.11850391252986,1611.19845097569,335.74036078765755,1218.6131613774235,56.84492881060869,1.7764040253315216,112587.0,0.897,0.304,0.7190000000000001,0.7190000000000001,0.085,86508.0,37528.0,1931.0,1288.0,2.75,0.862,30.9,1.3490658800393314,0.07311678968264543,
"Stafford County, Virginia",213.35402220821416,3.463539321561917,31.864561758369646,25.630190979558197,152.3957301487244,1256.5720658626635,114.29679761154327,1088.936762699067,53.33850555205354,8.312494371748603,144361.0,0.937,0.387,0.758,0.758,0.046,103005.0,39158.0,2136.0,1481.0,3.04,0.8370000000000001,40.9,1.3211067193675892,0.11576533828388555,7.3
"Surry County, Virginia",244.49877750611248,0.0,15.28117359413203,30.56234718826406,198.6552567237164,779.3398533007337,275.06112469437653,443.1540342298288,61.12469437652812,0.0,6544.0,0.8390000000000001,0.191,0.7609999999999999,0.7609999999999999,0.128,54656.0,27162.0,1258.0,920.0,2.41,0.93,39.3,0.4377224199288256,0.037591687041564785,11.8
"Sussex County, Virginia",78.2336578581363,0.0,8.692628650904034,17.385257301808068,52.1557719054242,669.3324061196106,165.15994436717662,478.09457579972184,26.0778859527121,8.692628650904034,11504.0,0.733,0.117,0.7070000000000001,0.7070000000000001,0.224,44608.0,15882.0,1163.0,837.0,2.05,0.7759999999999999,33.7,1.6660633484162897,0.16003129346314324,9.8
"Talbot County, Maryland",59.016041633134826,0.0,29.508020816567413,0.0,29.508020816567413,469.4457857181179,147.54010408283702,319.2231342883202,2.682547346960674,2.682547346960674,37278.0,0.895,0.374,0.703,0.703,0.091,65595.0,44785.0,1758.0,1084.0,2.25,0.878,26.6,1.2280019445794847,0.06776114598422663,8.8
"Tazewell County, Virginia",99.64412811387899,2.372479240806643,40.33214709371293,4.744958481613286,52.194543297746144,894.4246737841045,180.3084223013049,671.41162514828,42.704626334519574,18.979833926453143,42150.0,0.797,0.152,0.768,0.768,0.181,40309.0,24325.0,990.0,622.0,2.38,0.8959999999999999,23.9,0.939167056621432,0.047615658362989324,11.9
"Warren County, Virginia",51.07904482186183,0.0,28.09347465202401,0.0,22.98557016983782,564.4234452815732,61.294853786234206,457.15745115566335,45.97114033967564,2.5539522410930915,39155.0,0.861,0.209,0.767,0.767,0.093,65353.0,30009.0,1463.0,940.0,2.69,0.884,40.7,1.179132920438304,0.06321031796705402,13.7
"Washington County, Maryland",128.41668219199957,0.0,4.6575998722486895,23.287999361243447,100.47108295850744,1145.1041971628565,276.7945066936364,799.1110637958107,69.1986266734091,2.661485641284965,150292.0,0.87,0.215,0.645,0.645,0.133,58260.0,28742.0,1513.0,889.0,2.51,0.857,29.3,1.1087308506663345,0.0592313629467969,12.0
"Washington County, Virginia",123.58431401483013,1.8445420002213448,27.668130003320176,5.533626000664035,88.53801601062456,1322.5366141587044,272.9922160327591,957.3172981148782,92.22710001106724,3.6890840004426897,54214.0,0.846,0.234,0.7559999999999999,0.7559999999999999,0.139,44844.0,25640.0,1042.0,644.0,2.36,0.87,24.0,1.2533692722371967,0.07719408270926327,15.6
"Westmoreland County, Virginia",56.84402000909505,0.0,0.0,0.0,56.84402000909505,613.9154160982265,153.47885402455663,449.0677580718509,11.368804001819008,0.0,17592.0,0.8640000000000001,0.211,0.768,0.768,0.155,55688.0,32265.0,1455.0,961.0,2.36,0.8859999999999999,41.5,1.1115843270868824,0.07418144611186903,13.8
"Wicomico County, Maryland",102.36212796240874,0.9748774091657972,5.849264454994785,23.39705781997914,72.140928278269,627.8210515027735,167.67891437651716,430.89581485128235,29.24632227497392,1.9497548183315947,102577.0,0.8859999999999999,0.278,0.607,0.607,0.15,54493.0,27755.0,1370.0,1042.0,2.62,0.809,21.2,1.41623080816602,0.08183120972537704,10.6
"Wise County, Virginia",122.3615784643622,2.549199551340879,86.67278474558987,0.0,33.139594167431426,723.9726725808097,127.45997756704395,550.6271030896298,45.88559192413582,10.196798205363516,39228.0,0.7559999999999999,0.139,0.6920000000000001,0.6920000000000001,0.233,38255.0,21694.0,965.0,634.0,2.42,0.877,22.4,0.6209631728045326,0.05587845416539207,16.0
"Worcester County, Maryland",25.27019671876215,3.887722572117253,3.887722572117253,9.719306430293134,7.775445144234506,484.0214602285981,122.4632610216935,346.00730891843557,15.550890288469011,0.0,51444.0,0.901,0.301,0.7440000000000001,0.7440000000000001,0.099,59458.0,34425.0,1624.0,994.0,2.4,0.8740000000000001,24.3,0.8758152882859379,0.0652554233729881,9.3
"Wythe County, Virginia",55.141990625861595,0.0,10.339123242349046,3.4463744141163497,41.356492969396186,513.5097877033361,75.82023711055969,368.76206231044944,68.92748828232699,0.0,29016.0,0.8340000000000001,0.183,0.76,0.76,0.138,46119.0,24879.0,1036.0,635.0,2.42,0.916,23.4,0.9296740994854202,0.03735869864902123,10.6
"York County, Virginia",180.9462163116394,5.884429798752501,50.01765328939625,50.01765328939625,75.02647993409437,1866.8353536542306,183.88843121101561,1618.2181946569378,64.7287277862775,10.297752147816878,67976.0,0.941,0.436,0.721,0.721,0.05,86781.0,38193.0,1858.0,1458.0,2.72,0.833,21.9,1.132603752131893,0.1172325526656467,7.6
