,FIPS,County,mob_ratio,os_ratio
0,051001,Accomack,0.6292011019283746,0.27845884413309985
1,051003,Albemarle,1.1757843925985518,0.0994697228874444
2,051005,Alleghany,0.6470588235294118,0.008838383838383838
3,051007,Amelia,0.38614540466392316,0.017761989342806393
4,051009,Amherst,0.964929371651242,0.0696617869762746
5,051011,Appomattox,0.30745658835546474,0.09302325581395349
6,051013,Arlington,0.909972000861512,0.20106508875739645
7,051015,Augusta,0.8530339580627203,0.026974113552316728
8,051017,Bath,2.1705069124423964,0.0
9,051019,Bedford,0.9995576199955762,0.061296747067935385
10,051021,Bland,2.789473684210526,0.0
11,051023,Botetourt,0.7394301470588235,0.001243008079552517
12,051025,Brunswick,1.0471512770137525,0.009380863039399626
13,051027,Buchanan,0.5164917541229386,0.030478955007256895
14,051029,Buckingham,0.9587534372135655,0.01338432122370937
15,051031,Campbell,0.8667013798489976,0.016821868428957644
16,051033,Caroline,1.448692152917505,0.006944444444444444
17,051035,Carroll,0.736449864498645,0.013799448022079117
18,051036,Charles City,0.630801687763713,0.030100334448160536
19,051037,Charlotte,0.8091603053435115,0.0
20,051041,Chesterfield,1.0817826902601024,0.06739782527184102
21,051043,Clarke,0.9035012809564474,0.007561436672967864
22,051045,Craig,1.605095541401274,0.0
23,051047,Culpeper,0.8509005019191025,0.04753643303261624
24,051049,Cumberland,0.6441351888667992,0.16049382716049382
25,051051,Dickenson,0.7101449275362319,0.0
26,051053,Dinwiddie,0.6836293807009122,0.026685393258426966
27,051057,Essex,0.874296435272045,0.15450643776824036
28,051059,Fairfax,0.838605298533208,0.2612279059210713
29,051061,Fauquier,0.9713883677298312,0.02559150169000483
30,051063,Floyd,1.1402640264026402,0.06512301013024602
31,051065,Fluvanna,1.2689371697005285,0.012494215640906987
32,051067,Franklin,1.282383419689119,0.008946608946608947
33,051069,Frederick,0.7932021466905188,0.05480378890392422
34,051071,Giles,0.46877144818119426,0.02635431918008785
35,051073,Gloucester,0.8281461434370772,0.03213507625272331
36,051075,Goochland,0.7608503100088574,0.009313154831199068
37,051077,Grayson,0.6616915422885572,0.0018796992481203006
38,051079,Greene,0.6821659799882284,0.1458153580672994
39,051081,Greensville,1.6639566395663956,0.0
40,051083,Halifax,0.9088050314465409,0.04498269896193772
41,051085,Hanover,1.060750042423214,0.0625499920012798
42,051087,Henrico,1.1237571291576238,0.10437907028969234
43,051089,Henry,1.3256025466120964,0.002058319039451115
44,051091,Highland,4.064516129032258,0.0
45,051093,Isle of Wight,0.8076502732240437,0.08434821831303563
46,051095,James City,1.1769524849808848,0.09605568445475637
47,051097,King and Queen,1.0083333333333333,0.0
48,051099,King George,0.9368706429124709,0.0607689127738735
49,051101,King William,1.2945736434108528,0.03507271171941831
50,051103,Lancaster,0.6673448626653102,0.001524390243902439
51,051105,Lee,0.966041108132261,0.03515263644773358
52,051107,Loudoun,0.9947190911511494,0.19469105509703324
53,051109,Louisa,1.1612368856985091,0.025677603423680456
54,051111,Lunenburg,1.0074074074074073,0.051470588235294115
55,051113,Madison,0.7436270939548434,0.040156709108716944
56,051115,Mathews,0.6380281690140845,0.008830022075055188
57,051117,Mecklenburg,0.8184713375796179,0.027237354085603113
58,051119,Middlesex,1.0044052863436124,0.019005847953216373
59,051121,Montgomery,1.5225639212913868,0.10919362327813031
60,051125,Nelson,1.148626817447496,0.04781997187060478
61,051127,New Kent,1.9508771929824562,0.014838129496402877
62,051131,Northampton,0.5177215189873418,0.007334963325183374
63,051133,Northumberland,2.402135231316726,0.0
64,051135,Nottoway,0.9844173441734417,0.008258774948382657
65,051137,Orange,0.9996339677891655,0.011717319663127059
66,051139,Page,0.6866141732283465,0.022935779816513763
67,051141,Patrick,1.6614379084967321,0.004720692368214005
68,051143,Pittsylvania,1.094570928196147,0.00832
69,051145,Powhatan,1.2734952481520592,0.015339966832504145
70,051147,Prince Edward,1.0463425715583825,0.03256621797655232
71,051149,Prince George,1.0873614190687362,0.05362969004893964
72,051153,Prince William,0.876641229940523,0.13476493743399368
73,051155,Pulaski,1.0,0.037231253277399054
74,051157,Rappahannock,0.8743455497382199,0.0
75,051159,Richmond,1.5328836424957841,0.0231023102310231
76,051161,Roanoke,1.0362881628280665,0.06615841840031012
77,051163,Rockbridge,0.9308996088657105,0.024509803921568627
78,051165,Rockingham,0.7187323146576118,0.03989501312335958
79,051167,Russell,0.9507692307692308,0.0008090614886731392
80,051169,Scott,0.9833024118738405,0.008490566037735849
81,051171,Shenandoah,2.0205245153933866,0.023984198645598195
82,051173,Smyth,0.8448735019973369,0.06698187549251379
83,051175,Southampton,0.6494845360824743,0.03081232492997199
84,051177,Spotsylvania,1.0678702010968921,0.0505028889364434
85,051179,Stafford,1.2174703557312252,0.08512434257515746
86,051181,Surry,0.4377224199288256,0.0
87,051183,Sussex,1.6524886877828053,0.008214676889375685
88,051185,Tazewell,0.9185774450163781,0.022414671421293938
89,051187,Warren,1.134349690328728,0.039479210415791686
90,051191,Washington,1.1988619347109912,0.045465900574569076
91,051193,Westmoreland,1.08603066439523,0.023529411764705882
92,051195,Wise,0.6056657223796034,0.025257249766136577
93,051197,Wythe,0.8962264150943396,0.03732057416267943
94,051199,York,1.0156338828880045,0.11516932549678141
95,051510,Alexandria city,0.9290030211480362,0.22454268292682927
96,051520,Bristol city,1.4719945355191257,0.016241299303944315
97,051530,Buena Vista city,1.1496350364963503,0.03650793650793651
98,051540,Charlottesville city,0.950522472617399,0.11602649006622516
99,051550,Chesapeake city,1.0203541526320854,0.05281773166705966
100,051570,Colonial Heights city,1.1624745071380014,0.022222222222222223
101,051580,Covington city,2.2842465753424657,0.038980509745127435
102,051590,Danville city,1.1176470588235294,0.05192511480042388
103,051595,Emporia city,0.8822768434670116,0.0
104,051600,Fairfax city,0.5242680290823345,0.18590704647676162
105,051610,Falls Church city,0.7591240875912408,0.39663461538461536
106,051620,Franklin city,1.7487437185929648,0.0
107,051630,Fredericksburg city,1.277006354436338,0.052156284555842244
108,051640,Galax city,1.0853174603174602,0.003656307129798903
109,051650,Hampton city,0.9008210608627656,0.03783275462962963
110,051660,Harrisonburg city,2.0770126091173617,0.08816661996824507
111,051670,Hopewell city,0.7962085308056872,0.0021645021645021645
112,051678,Lexington city,1.9463768115942028,0.045420699925539834
113,051680,Lynchburg city,1.7023616952442575,0.07753705815279362
114,051683,Manassas city,0.7737059092991296,0.0615748963883955
115,051685,Manassas Park city,1.333115610711953,0.18569328760411563
116,051690,Martinsville city,0.7935049019607843,0.006177606177606178
117,051700,Newport News city,1.0459228127722824,0.06630077914441124
118,051710,Norfolk city,1.2541848472828243,0.0501613005250174
119,051720,Norton city,10.487804878048781,0.0
120,051730,Petersburg city,0.8814974414220307,0.07302169263672471
121,051735,Poquoson city,1.1464285714285714,0.035306334371754934
122,051740,Portsmouth city,0.8651397159871737,0.025415651805570264
123,051750,Radford city,1.414980475683351,0.010286001003512292
124,051760,Richmond city,1.1676694184039924,0.051525802843904775
125,051770,Roanoke city,0.8976414014197389,0.04846938775510204
126,051775,Salem city,1.2704266088214027,0.035856573705179286
127,051790,Staunton city,1.7019704433497538,0.04775687409551375
128,051800,Suffolk city,0.8333333333333334,0.066
129,051810,Virginia Beach city,0.9915233647382772,0.09186201639031828
130,051820,Waynesboro city,1.0582386363636365,0.006711409395973154
131,051830,Williamsburg city,1.4064019448946516,0.10285220397579949
132,051840,Winchester city,1.1300492610837438,0.02789886660854403
